dia,materia,assunto,num,fonte,enunciado,A,B,C,D,E,gabarito,imagens
6,LINGUAGENS,INTERPRETAÇÃO DE ASPECTOS DO TEXTO,4,ENEM 2023 PPL -- LIN,"Maio foi colorido de amarelo, e o foi porque mundialmente amarelo é a
cor convencionada para as advertências. No trânsito, essas advertências
têm sido fatais. A estimativa, caso nada seja feito, é a de que se
atinjam assustadoras 2,4 milhões de mortes no trânsito em 2030 em todo o
mundo.

    A pressa constante, o sentimento de invencibilidade, a certeza de
invulnerabilidade, a necessidade de poder, a falta de civilidade, a
certeza de impunidade, a ausência de solidariedade, a inexistência de
compaixão e o desrespeito por si próprio são circunstâncias reais que,
não raro, concorrem para o comportamento violento no trânsito.

    O Maio Amarelo, que preconiza a atenção pela vida, é uma das
iniciativas nesse sentido. E é precisamente a atenção pela vida que está
esquecida. Essa atenção, por certo, requer menos pressa, mais
civilidade, limites assegurados, consciência de vulnerabilidade,
solidariedade, compaixão e respeito por si e pelo outro. Reafirmar e
praticar esses princípios e valores talvez seja um caminho mais seguro e
menos violento, que garanta a vida e não celebre a morte.

 

Considerando os procedimentos argumentativos utilizados, infere-se que o
objetivo desse texto é",enumerar as causas determinantes da violência no trânsito.,contextualizar a campanha de advertência no cenário mundial.,divulgar dados numéricos alarmantes sobre acidentes de trânsito.,sensibilizar o público para a importância de uma direção responsável.,restringir os problemas da violência no trânsito a aspectos emocionais.,D,
6,LINGUAGENS,INTERPRETAÇÃO DE ASPECTOS DO TEXTO,5,ENEM 2020 -- LIN,"**Seu delegado**

Eu sou viúvo e tenho um filho homem\
Arrumei uma viúva e fui me casar\
A minha sogra era muito teimosa\
Com o meu filho foi se matrimoniar\
Desse matrimônio nasceu um garoto\
Desde esse dia que eu ando é louco\
Esse garoto é filho do meu filho\
E o filho da minha sogra é irmão da minha mulher\
Ele é meu neto e eu sou cunhado dele\
À minha nora é minha sogra\
Meu filho meu sogro é\
Nessa confusão já nem sei quem sou\
Acaba esse garoto sendo meu avô.

TRIO FORROZÃO. Agitando repestado Rio de Janeiro

 

Nessa letra da canção, a suposição do último verso sinaliza a intenção
do autor de",ironizar as relações familiares modernas.,reforçar o humor da situação representada.,expressar perplexidade em relação ao parente.,atribuir à criança a causa da dúvida existencial.,questionar os lugares predeterminados da família.,B,
6,LINGUAGENS,INTERPRETAÇÃO DE ASPECTOS DO TEXTO,6,ENEM 2023 -- LIN,"Se a interferência de contas falsas em discussões políticas nas redes
sociais já representava um perigo para os sistemas democráticos, sua
sofisticação e maior semelhança com pessoas reais têm agravado o
problema pelo mundo.

    O perigo cresceu porque a tecnologia e os métodos evoluíram dos
robôs, os ""*bots*"" --- softwares com tarefas on-line automatizadas ---,
para os ""ciborgues"" ou ""*trolls*"", contas controladas diretamente por
humanos com ajuda de um pouco de automação.

    Mas pesquisadores começam agora a observar outros padrões de
comportamento: quando mensagens não são programadas, sua publicação se
concentra só em horários de trabalho, já que é controlada por pessoas
cuja profissão é exatamente essa, administrar um perfil falso durante o
dia.

    Outra pista: a pobreza vocabular das mensagens publicadas por esses
perfis. Um funcionário de uma empresa que supostamente produzia e vendia
perfis falsos explica que às vezes ""faltava criatividade"" para criar
mensagens distintas controlando tantos perfis falsos ao mesmo tempo.

GRAGNANI, J. Disponível em: www.bbc.com. Acesso em: 16 dez. 2017

 

De acordo com o texto, a análise de características da linguagem
empregada por perfis automatizados contribui para o(a)",controle da atuação dos profissionais de TI.,"desenvolvimento de tecnologias como os ""*trolls*"".",flexibilização dos turnos de trabalho dos controladores.,"necessidade de regulamentação do funcionamento dos ""*bots*"".",identificação de padrões de disseminação de informações inverídicas.,E,
6,LINGUAGENS,INTERPRETAÇÃO DE ASPECTOS DO TEXTO,7,ENEM 2023 -- LIN,"""São tantas formas de matar um preto\
Que para alguns sua morte é justificada\
Devia tá fazendo coisa errada

Se não era bandido, um dia ia ser

Por ser PRETO sua morte é defendida\
O PRETO sempre merece morrer"".

    A estrofe acima é do poeta e educador social Baticum Proletário, que
atua na periferia de Fortaleza, no Ceará, preparando jovens --- em quase
sua totalidade negros --- para enfrentar as dificuldades impostas pelo
racismo estrutural no país.

    É a partir da arte que Baticum consegue envolver a juventude em um
projeto de fortalecimento dessa população ao promover batalhas de
rimas, *slams *e saraus com temáticas que discutem os problemas sociais.
Não por acaso, 0 tema mais explorado nas rimas, versos e prosas é a
violência. De acordo com o mais recente *Atlas da violência*, em 2019,
os negros representaram 77% das vítimas de homicídios, quase 30
assassinatos por 100 mil habitantes, a maioria deles jovens.

    O *Atlas *revela ainda que um negro tem quase 2,7 vezes mais chance
de ser morto do que um branco, o que justifica o movimento de
resistência crescente no Brasil.

MENDONÇA, F. Disponível em: www.cartacapital.com.br. Acesso em: 22 nov.
2021 (adaptado).

 

O uso de citação e de dados estatísticos nesse texto tem o objetivo de","ressaltar a importância da poesia para denunciar a morte de negros, que cresce a cada dia.",destacar o crescimento exponencial da temática do preconceito na produção literária no Brasil.,demonstrar o incremento no quantitativo de expressões artísticas na discussão de problemas sociais.,evidenciar argumentos que reforçam a ideia de que os negros são vítimas em potencial da violência.,salientar o aumento da participação de jovens nos movimentos de resistência na área da cultura.,D,
6,LINGUAGENS,INTERPRETAÇÃO DE ASPECTOS DO TEXTO,8,UNICAMP 2023 -- LIN,"""Deus fez o mar, as árvore, as criança, o amor\
O homem me deu a favela, o crack, a trairagem, as arma, as\
bebida, as puta\
Eu?! Eu tenho uma Bíblia velha, uma pistola automática e\
um sentimento de revolta\
Eu tô tentando sobreviver no inferno"".

(RACIONAIS MC'S. Gênesis. In: Sobrevivendo no inferno. São Paulo:
Companhia das Letras, p. 45, 2018.)

 

A palavra ""Gênesis"" dá nome ao primeiro livro da Bíblia. Considerando a
obra, na íntegra, dos Racionais MC's e o excerto acima dela reproduzido,
pode-se dizer que, em relação a esse trecho, ""gênesis"" seria uma alusão",à influência do cristianismo na dinâmica das comunidades periféricas.,ao colapso planetário entrevisto já na origem do mundo natural.,à origem divina do mundo contraposta aos problemas criados pelo homem.,à origem religiosa dos conflitos armados e da violência social no Brasil.,,C,
6,BIOLOGIA,FISIOLOGIA HUMANA,1,UFT 2024 -- BIO,"Na digestão humana, na boca a \_\_\_(1)\_\_\_ atua na digestão do
amido. No estômago a \_\_\_(2)\_\_\_ digere \_\_\_(3)\_\_\_ . A
\_\_\_(4)\_\_\_ atua na digestão de triacilgliceróis . A
\_\_\_(5)\_\_\_ digere os nucleotídios.

A alternativa que indica a sequência correta dos números é:",\(1\) amilase pancreática; (2) gastrina; (3) proteínas; (4) lipase pancreática; (5) amilase pancreática.,\(1\) pepsina; (2) ptialina; (3) polissacarídios; (4) pepsina; (5) lactase.,\(1\) ptialina; (2) pepsina; (3) proteínas; (4) lipase pancreática; (5) ribonuclease.,\(1\) renina; (2) pepsina; (3) proteínas; (4) lipase pancreática; (5) ribonuclease.,,C,
6,BIOLOGIA,FISIOLOGIA HUMANA,2,UERJ 2024 -- BIO,"Quadros de pneumonia podem ocorrer quando, além do ar, algum corpo
estranho entra nas vias respiratórias.

 

Uma explicação para a possibilidade de entrada desses corpos estranhos é
a comunicação entre o sistema respiratório e o seguinte sistema:",nervoso,excretor,digestório,circulatório,,C,
6,BIOLOGIA,FISIOLOGIA HUMANA,3,UERJ 2023 -- BIO,"A ureia é produzida pelo organismo a partir da amônia, por meio de um
conjunto de reações químicas conhecido como ciclo da ureia. Disfunções
clínicas podem interferir diretamente nesse ciclo, comprometendo ainda
mais a saúde dos indivíduos.

 

Uma dessas disfunções é:",insuficiência pulmonar,apendicite aguda,baço aumentado,cirrose hepática,,D,
6,BIOLOGIA,FISIOLOGIA HUMANA,4,UERJ 2024 -- BIO,"Quadros de pneumonia podem ocorrer quando, além do ar, algum corpo
estranho entra nas vias respiratórias.

Uma explicação para a possibilidade de entrada desses corpos estranhos é
a comunicação entre o sistema respiratório e o seguinte sistema:",nervoso,excretor,digestório,circulatório,,C,
6,BIOLOGIA,FISIOLOGIA HUMANA,5,UERJ 2023 -- BIO,"*Fome no Brasil: número de brasileiros sem ter o que comer quase dobra
em dois anos de pandemia*

*A fome avança cada vez mais rápido pelo Brasil. Um levantamento
divulgado mostra que o país soma atualmente cerca de 33,1 milhões de
pessoas sem ter o que comer diariamente, quase o dobro do contingente em
situação de fome estimado em 2020. *

A ausência de nutrientes para a manutenção do organismo humano prejudica
o funcionamento celular, gerando consequências para a saúde integral dos
indivíduos. 

Quando submetidas a longos períodos de desnutrição, as células passam
pelo seguinte processo:",exocitose,autofagia,anabolismo,glicosilação,,B,
6,BIOLOGIA,FISIOLOGIA HUMANA,6,UNICAMP 2023 -- BIO,"Um artigo científico relata a construção e a eficiência de um reator
fotocatalítico de fluxo contínuo para a degradação de hormônios
presentes em águas tratadas para consumo humano. Num trecho desse
estudo, os autores afirmam: ""é interessante notar que 80% de estrogênio
foram removidos numa alimentação a 200 ng/L, 25 mW/cm2 e 300 L/(m2 h),
enquanto que as remoções de progesterona e testosterona ficaram em 44% e
33%, respectivamente"".

 

De acordo com essas informações, pode-se inferir que o reator é capaz de
degradar","dois hormônios femininos e um masculino, sendo que degrada melhor um feminino.","dois hormônios femininos e um masculino, sendo que degrada melhor o masculino.","somente hormônios masculinos, sendo que degrada melhor o estrogênio.","somente hormônios femininos, sendo que degrada melhor o estrogênio.",,A,
6,BIOLOGIA,FISIOLOGIA HUMANA,7,UERJ 2024 -- BIO,"A doença de Addison, que normalmente possui progressão lenta, culmina
com a insuficiência de todos os corticoides suprarrenais, dentre eles o
cortisol.

 

A deficiência desse hormônio no organismo provoca o aumento do processo
de:",inflamação.,catabolismo.,hiperglicemia.,gliconeogênese.,,A,
6,BIOLOGIA,FISIOLOGIA HUMANA,8,UFAM 2024 -- BIO,"Assinale a alternativa que contém, respectivamente, as enzimas
responsáveis pela digestão de proteínas, carboidratos e triglicerídeos:","tripsina, amilase e lipase.","lipase, maltase e quimiotripsina.","pepsina, lipase e amilase.","sacarase, lipase e pepsina.","tripsina, pepsina e quimiotripsina.",A,
6,HISTÓRIA,BRASIL COLÔNIA,1,ENEM 2022 PPL -- HIS,"A abertura dos portos brasileiros em 1808 inaugurou a possibilidade,
para viajantes europeus de diversas nacionalidades, de percorrer áreas
até então dificilmente acessíveis à sua curiosidade. Os relatos de
inúmeras expedições, a maioria de caráter científico, foram publicados
na Europa, para leitores ávidos de notícias sobre um Brasil até então
desconhecido, terra cujos segredos haviam sido velados por uma Coroa
portuguesa ciumenta e possessiva.

DUARTE, R. H. Olhares estrangeiros: viajantes no vale do Rio Mucuri.
Revista Brasileira de História, n. 44, 2002 (adaptado).

 

Os relatos de viagens ao Brasil, publicados na Europa, contribuíram para
a construção da identidade europeia na medida em que","destacaram a exuberância da natureza tropical, elaborando uma visão heroica da conquista.","defenderam a legitimidade da escravidão africana, aprovando-a como fator de humanização.","enfatizaram o exotismo da sociedade colonial, contrapondo-a à ideia iluminista de civilização.","analisaram a miscigenação dos grupos raciais, atribuindo um caráter positivo a esse processo.","descreveram a diversidade das etnias indígenas, contribuindo para a preservação de suas culturas.",C,
6,HISTÓRIA,BRASIL COLÔNIA,2,ENEM 2020 -- HIS,"Porque todos confessamos não se poder viver sem alguns escravos, que
busquem a lenha e a água, e façam cada dia o pão que se come, e outros
serviços que não são possíveis poderem-se fazer pelos Irmãos Jesuítas,
máxime sendo tão poucos, que seria necessário deixar as confissões e
tudo mais. Parece-me que a Companhia de Jesus deve ter e adquirir
escravos, justamente, por meios que as Constituições permitem, quando
puder para nossos colégios e casas de meninos.

LEITE. **S. História da Companhia de Jesus no Brasil**. Rio de Janeiro
Civilização Brasileira. 1938 (adaptado)

 

O texto explicita premissas da expansão ultramarina portuguesa ao
buscar justificar a",propagação do ideário cristão.,valorização do trabalho braçal.,adoção do cativeiro na Colônia.,adesão ao ascetismo contemplativo.,alfabetização dos indígenas nas Missões.,C,
6,HISTÓRIA,BRASIL COLÔNIA,3,ENEM 2020 -- HIS,"Uma sombra pairava sobre as tão esperadas descobertas auríferas: a
multidão de aventureiros que se espalhara por serras e grotões
mostrava-se criminosa e desobediente aos ditames da Coroa ou da Igreja.
Carregavam consigo tantos escravos que o preço da mão de obra começara a
aumentar na Bahia, Pernambuco e Rio de Janeiro. Ao fim de dez anos, a
tensão entre paulistas e forasteiros, entre autoridades e mineradores,
só fazia aumentar.

DEL PRIORE, M.; VENÂNCIO, R. Uma breve história do Brasil. São Paulo:
Planeta, 2010.

No contexto abordado, do início do século XVIII, a medida tomada pela
Coroa lusitana visando garantir a ordem na região foi a",regulamentação da exploração do trabalho.,proibição da fixação de comerciantes.,fundação de núcleos de povoamento.,revogação da concessão de lavras.,criação das intendências das minas.,E,
6,HISTÓRIA,BRASIL COLÔNIA,4,ENEM 2019 -- HIS,"A partir da segunda metade do século XVIII, o número de escravos
recém-chegados cresce no Rio e se estabiliza na Bahia. Nenhum lugar
servia tão bem à recepção de escravos quanto o Rio de Janeiro.

FRANÇA, R.O tamanho real da escravidão. O Globo, 5 abr. 2015 (adaptado).

 

Na matéria, o jornalista informa uma mudança na dinâmica do tráfico
atlântico que está relacionada à seguinte atividade:",Coleta de drogas do sertão.,Extração de metais preciosos.,Adoção da pecuária extensiva.,Retirada de madeira do litoral.,Exploração da lavoura de tabaco.,B,
6,HISTÓRIA,BRASIL COLÔNIA,5,UNICAMP 2024 -- HIS,"""Dos pretos é tão própria e natural a união que a todos os que têm a
mesma cor, chamam parentes; a todos os que servem na mesma casa, chamam
parceiros; e a todos os que se embarcam no mesmo navio, chamam
malungos.""

(VIEIRA, Padre Antônio. Sermão XX. Parte II. Lisboa: Impressão
Craesbeeckiana, p. 165, 1688.)

 

Sobre as comunidades de malungos no período da escravidão, é correto
afirmar, de acordo com o texto, que são formadas","nos laços entre africanos de múltiplas etnias, os quais haviam atravessado juntos o Atlântico.","no encontro dos africanos nas senzalas, no exercício de ofícios e no trabalho da lavoura.",no Novo Mundo por pessoas de uma mesma etnia que se reconheciam como iguais.,"nos quilombos rurais e urbanos, formados por escravizados fugidos de muitas etnias.",,A,
6,HISTÓRIA,BRASIL COLÔNIA,6,UNICAMP 2023 -- HIS,"As estimativas sobre a população de Palmares no século XVII oscilam
entre 5 e 20 mil pessoas. A crônica abaixo, de 1678, descreve o
território palmarino:

 

Reconhecem-se todos obedientes a um que se chama ""o Ganga Zumba"", que
quer dizer ""Senhor Grande"". A este tem por seu rei e senhor todos os
mais, assim naturais dos Palmares como vindos de fora. Habita na sua
cidade real que chamam o Macaco. Esta é a metrópole entre as mais
cidades e povoações. Está fortificada toda em cerco de pau a pique, com
torneiras abertas para ataque e defesa. E pela parte de fora toda se
semeia de estrepes de ferro e buracos no chão. Ocupa esta cidade
dilatado espaço, forma-se mais de 1500 casas. A segunda cidade chama-se
Sirbupira; nesta habita o irmão do rei que se chama ""o Zona"". É
fortificada toda de madeira e pedras, compreende mais de oitocentas
casas. Das mais cidades e povoações darei notícia quando lhe referir as
ruínas.

(Adaptado de: ANTT, Manuscrito da Livraria, cod. 1185, fls. 149-55v. In:
LARA, Silvia; FACHIN, Phablo (org.). Guerra contra Palmares: o
manuscrito de 1678. São Paulo: Chão Editora, 2021, p. 9 -- 49.)

 

Sobre a organização do espaço palmarino, é correto afirmar que","os negros que fugiram para Palmares ocuparam os espaços urbanos das vilas coloniais na Serra da Barriga; essas vilas tinham sido abandonadas por Portugal durante as guerras de expulsão, de Pernambuco, dos holandeses.","o que se convencionou chamar de quilombo de Palmares era uma rede de povoações fortificadas, formadas por centenas de casas e interligadas por meio de um sistema político influenciado por lógicas culturais africanas.","as povoações que constituíam Palmares se originaram da estrutura urbanística construída por Nassau nas serras de Pernambuco e Alagoas, a partir da racionalidade holandesa na época da luta pelo domínio do açúcar.","a maioria da população negra que vivia nos mocambos de Palmares no século XVII era crioula, ou seja, nascida no Brasil, e combinava a influência da organização política de Angola e das redes urbanas litorâneas e europeias de Pernambuco.",,B,
6,HISTÓRIA,BRASIL COLÔNIA,7,UNICAMP 2022 -- HIS,"*A sociedad*e é uma benção, mas o governo, mesmo em seu melhor estado, é
apenas um mal necessário. No seu pior estado, é um mal intolerável, pois
quando sofremos ou ficamos expostos, por causa de um governo, às mesmas
desgraças que poderíamos esperar em um país sem governo, nossa
calamidade pesa ainda mais ao considerarmos que somos nós que fornecemos
os meios pelos quais sofremos. Há algo de muito ridículo na composição
da monarquia; primeiro ela exclui um homem dos meios de informação, mas
lhe permite agir em casos que requerem capacidade superior de
julgamento. A posição de um rei o aparta do mundo; no entanto, a
atividade de um rei exige que ele conheça perfeitamente o mundo. Com
isso, as diferentes partes, opondo-se de forma antinatural e destruindo
uma à outra, provam que essa figura é absurda e inútil.

(Adaptado de Thomas Paine, Senso comum e os direitos do homem. L&PM
Pocket. Edição do Kindle -- posição 32 a 138.)

 

O trecho acima foi retirado do panfleto O Senso comum e Os direitos do
homem, publicado de forma anônima, em 1776. Com autoria assumida por
Thomas Paine, a obra causou grande reação pública.

 

A partir do texto e das informações fornecidas, é correto dizer que o
autor","apresenta a Monarquia como um mal necessário e a figura do rei absolutista como absurda e inútil, contudo inquestionável. Paine tornou-se o principal nome contrário à Revolução Americana.","estabelece uma relação direta entre a sociedade e o governo, abrindo espaço para debates acerca do mau governo. O panfleto escrito por Paine tornou-se uma base teórica para a Revolução Americana.","demonstra como regimes autoritários favorecem os meios de informação, para que os homens exerçam suas capacidades de julgamento. Paine usou jornais para combater a Revolução Americana.","considera que sociedades com e sem governos têm os mesmos benefícios, desenvolvendo-se de formas semelhantes. Paine desencorajou o engajamento dos colonos ingleses na Revolução Americana.",,B,
6,HISTÓRIA,BRASIL COLÔNIA,8,ENEM 2017 -- HIS,"O instituto popular, de acordo com o exame da razão, fez da figura do
alferes Xavier o principal dos inconfidentes, e colocou os seus
parceiros a meia ração de glória. Merecem, decerto, a nossa estima
aqueles outros; eram patriotas. Mas o que se ofereceu a carregar com os
pecadores de Israel, o que chorou de alegria quando viu comutada a pena
de morte dos seus companheiros, pena que só ia ser executada nele, o
enforcado, o esquartejado, o decapitado, esse tem de receber o prêmio na
proporção do martírio, e ganhar por todos, visto que pagou por todos.

ASSIS, M. Gazeta de Noticias, n. 114, 24 abr. 1892.

 

No processo de transição para a República, a narrativa machadiana sobre
a Inconfidência Mineira associa",redenção cristã e cultura cívica.,veneração aos santos e radicalismo militar,apologia aos protestantes e culto ufanista.,tradição messiânica e tendência regionalista,representação eclesiástica e dogmatismo ideológico.,B,
7,QUÍMICA,QUÍMICA ORGÂNICA,1,UNICAMP 2023 -- QUI,"Com o objetivo de mitigar problemas ambientais e encontrar alternativas
viáveis para a produção de combustíveis, muitas propostas têm sido
sugeridas. As figuras a seguir mostram rotas de transformação que
possibilitariam alcançar o objetivo citado.

![](https://raw.githubusercontent.com/AceleraEducacao/revisao-enem-imagens/main/dia07_image5.webp)

As figuras anteriores trazem a representação esquemática de diferentes
sistemas catalíticos para a reação de transformação de","dióxido de carbono em etanol, sendo que A, B, C e D representam, respectivamente: biocatálise, catálise homogênea, catálise heterogênea e fotocatálise.","dióxido de carbono em etanol, sendo que A, B, C e D representam, respectivamente: biocatálise, catálise homogênea, fotocatálise e catálise heterogênea.","metano em metanol, sendo que A, B, C e D representam, respectivamente: biocatálise, catálise homogênea, catálise heterogênea e fotocatálise.","metano em metanol, sendo que A, B, C e D representam, respectivamente: biocatálise, catálise homogênea, fotocatálise e catálise heterogênea.",,C,dia07_image5.webp
7,QUÍMICA,QUÍMICA ORGÂNICA,2,UNESP 2023 -- QUI,"Considere a estrutura do polímero conhecido pela sigla PET
(polietilenotereftalato).

![](https://raw.githubusercontent.com/AceleraEducacao/revisao-enem-imagens/main/dia07_image9.webp)

O exame dessa estrutura mostra que o PET é",um poliéster.,um poliálcool.,uma poliamida.,um poliéter.,uma policetona.,A,dia07_image9.webp
7,QUÍMICA,QUÍMICA ORGÂNICA,3,ENEM 2011 PPL -- MAT,"Quando uma molécula orgânica insaturada reage com bromo e o seu produto
apresenta um decréscimo no número de ligações *pi *e um acréscimo no
número de ligações *sigma*, pode-se dizer que essa molécula orgânica
sofreu uma reação de:",Eliminação,Substituição,Adição,Rearranjo,Nenhuma das anteriores,C,
7,QUÍMICA,QUÍMICA ORGÂNICA,4,ENEM 2013 -- QUÍ,"As moléculas de *nanoputians* lembram figuras humanas e foram criadas
para estimular o interesse de jovens na compreensão da linguagem
expressa em fórmulas estruturais, muito usadas em química orgânica. Um
exemplo é o NanoKid, representado na figura:

![](https://raw.githubusercontent.com/AceleraEducacao/revisao-enem-imagens/main/dia07_image10.webp)

CHANTEAU, S. H.; TOUR, J. M. The Journal of Organic Chemistry, v. 68, n.
23, 2003 (adaptado).

 

Em que parte do corpo do NanoKid existe carbono quaternário?",Mãos.,Cabeça.,Tórax.,Abdômen.,Pés.,A,dia07_image10.webp
7,QUÍMICA,QUÍMICA ORGÂNICA,5,FMABC 2022 -- QUI,"O náilon 6,6 pode ser obtido a partir da reação entre ácido adípico e
hexametilenodiamina.

![](https://raw.githubusercontent.com/AceleraEducacao/revisao-enem-imagens/main/dia07_image8.webp)

Examinando-se essas estruturas, conclui-se que o náilon 6,6 é um
polímero da classe das\_\_\_\_\_\_\_\_ , obtido em polimerização
por\_\_\_\_\_\_\_\_\_\_\_\_com saída de\_\_\_\_\_\_\_\_\_.

 

As lacunas desse texto são preenchidas, respectivamente, por:",polinitrilas -- condensação -- H~2~O,poliamidas -- condensação -- HCN,poliamidas -- condensação -- H~2~O,polinitrilas -- adição -- HCN,poliamidas -- adição -- H~2~O,C,dia07_image8.webp
7,QUÍMICA,QUÍMICA ORGÂNICA,6,UNITINS 2022 -- QUÍ,"Comer duas partes de arroz para uma de feijão é uma opção barata de
energia para o corpo trabalhar, além de alguns aminoácidos essenciais
como metionina e triptofano (arroz) e lisina e isoleucina (feijão). Se o
arroz com feijão for consumido com couve refogada ou com um pedaço de
laranja, favorecerá na absorção de ferro, graças à vitamina C presente
nesses alimentos. Ou seja, além de ser um prato relativamente barato, o
arroz com feijão, acrescido de couve e laranja, oferecem aminoácidos
importantes, ferro e energia para o bom funcionamento do nosso corpo.

https://www.ufrgs.br/laranjanacolher, 14/10/2021(adaptado).

 

Veja as representações químicas a seguir:

![](https://raw.githubusercontent.com/AceleraEducacao/revisao-enem-imagens/main/dia07_image11.webp)

Sobre o texto e os aminoácidos citados, é correto afirmar que:",Em todos os compostos aparecem aminas secundárias.,Todos os aminoácidos apresentam as funções amina e ácido carboxílico.,"Comparando os aminoácidos contidos no feijão, pode-se inferir que a isoleucina possui maior ponto de fusão e ponto de ebulição que a lisina.","Os aminoácidos contidos no arroz e feijão são essenciais, pois o organismo humano produz quantidades inferiores às necessidades de nosso corpo.","Em todos os compostos, é possível visualizar pelo menos um carbono de hibridização eletrônica do tipo sp.",B,dia07_image11.webp
7,QUÍMICA,QUÍMICA ORGÂNICA,7,ENEM 2023 -- QUÍ,"As cetonas fazem parte de famílias olfativas encontradas em muitos
alimentos. A molécula de hexan-3-ona é um exemplo desses compostos
voláteis responsáveis pelo aroma, podendo ser obtida por processos
energéticos realizados em meio ácido, na presença de oxidantes como o
permanganato de potássio.

 

Para se produzir esse composto volátil em laboratório, deve-se oxidar a
molécula de",hexanal.,hexan-1-ol.,hexan-3-ol.,hex-1-en-1-ol.,ácido hexanoico.,C,
7,QUÍMICA,QUÍMICA ORGÂNICA,8,ENEM 2023 -- QUÍ,"Um garoto comprou vários abacates na feira, mas descobriu que eles não
estavam maduros o suficiente para serem consumidos. Sua mãe recomendou
que ele colocasse os abacates em um recipiente fechado, pois isso
aceleraria seu amadurecimento. Com certa dúvida, o garoto realizou esta
experiência: colocou alguns abacates no recipiente e deixou os demais em
uma fruteira aberta. Surpreendendo-se, ele percebeu que os frutos que
estavam no recipiente fechado amadureceram mais rapidamente.

A aceleração desse processo é causada por",acúmulo de gás etileno.,redução da umidade do ar.,aumento da concentração de CO~2~.,diminuição da intensidade luminosa.,isolamento do contato com O~2~ atmosférico.,A,
7,LINGUAGENS,INTERTEXTUALIDADE,1,ENEM 2021 -- POR,"![](https://raw.githubusercontent.com/AceleraEducacao/revisao-enem-imagens/main/dia07_image13.webp)

Nessa tirinha, produzida na década de 1970, os recursos verbais e não
verbais sinalizam a finalidade de",reforçar a luta por direitos civis.,explicitar a autonomia feminina.,ironizar as condições de igualdade.,estimular a abdicação da vida social.,criticar as obrigações da maternidade.,C,dia07_image13.webp
7,LINGUAGENS,INTERTEXTUALIDADE,2,ENEM 2021 -- POR,"O solo *A morte do cisne*, criado em 1905 pelo russo Mikhail Fokine a
partir da música do compositor francês Camille Saint-Saens, retrata o
úllimo voo de um cisne antes de morrer. Na versão original, uma
bailarina com figurino impecavelmente branco e na ponta dos pés
interpreta toda a agonia da ave se debatendo até desfalecer.

    Em 2012, John Lennon da Silva, de 20 anos, morador do bairro de São
Mateus, na Zona Leste de São Paulo, elaborou um novo jeito de dançar a
coreografia imortalizada pela bailarina Anna Paviova. No lugar de um
colã e das sapatilhas, vestiu calça jeans, camiseta e tênis. Em vez de
balé, trouxe o estilo *popping *da *street dance*. Sua apresentação
inovadora de *A morte* *do cisne*, que foi ao ar no programa *Se ela
dança, eu danço*, virou hit no YouTube.

Disponivel em www.correcbrazmente com br Acesso em 18 pn 2019 (adaptado)

 

A forma original de John Lennon da Silva reinterpretar a coreografia
de* A morte do cisne* demonstra que",a composição da coreografia foi influenciada pela escolha do figurino.,a criação artística é beneficiada pelo encontro de modelos oriundos de diferentes realidades socioculturais.,a variação entre os modos de dançar uma mesma música evidencia a hierarquia que marca manifestações artísticas.,"a formação erudita, à qual o dançarino não teve acesso, resulta em artistas que só conhecem a estética da arte popular.","a interpretação, por homens, de coreografias originalmente concebidas para mulheres exige uma adaptação complexa.",B,
7,LINGUAGENS,INTERTEXTUALIDADE,3,ENEM 2022 -- POR,"![](https://raw.githubusercontent.com/AceleraEducacao/revisao-enem-imagens/main/dia07_image14.webp)

Considerando-se a função social dos *posts*, essa imagem evidencia a
apropriação de outro gênero com o objetivo de",promover o uso adequado de campanhas publicitárias do governo.,"divulgar o projeto sobre transparência da administração pública,",responsabilizar o cidadão pelo controle dos gastos públicos.,delegar a gestão de projetos de lei ao contribuinte.,assegurar a fiscalização dos gastos públicos.,B,dia07_image14.webp
7,LINGUAGENS,INTERTEXTUALIDADE,4,ENEM 2013 PPL -- POR,"![](https://raw.githubusercontent.com/AceleraEducacao/revisao-enem-imagens/main/dia07_image7.webp)

O cartão-postal é um gênero textual geralmente usado por turistas quando
estão viajando, para enviar, aos que ficaram, imagens dos lugares
visitados. Entretanto, o cartão-postal apresentado é uma peça
publicitária, e reconhece-se nela a intenção de","apresentar uma paisagem de um local específico, conteúdo recorrente em um cartão-postal.",incentivar as pessoas de uma cidade a enviar cartões-postais umas para as outras,"instituir um novo tipo de cartão-postal, o virtual, a ser comercializado em um *site* da internet.","fazer propaganda de um ponto turístico romântico específico, atraindo a visitação por casais.","comemorar a data da instituição do cartão-postal no Brasil, ainda na época do Império.",E,dia07_image7.webp
